comment,id,toxic,severe_toxic,threat,insult,identity_hate,gaslight,manipulation
Your existence is offensive,gen_1,0,1,0,0,1,1,0
Go die in a ditch nobody cares about you,gen_2,0,1,0,0,0,0,0
Youre disgusting inside and out,gen_3,1,0,0,0,0,1,0
Youre a disgrace to your religion,gen_4,0,0,0,0,1,0,0
Youre pure trash and should be treated as such,gen_5,1,1,1,0,0,0,0
Ive hurt worse people than you,gen_6,0,0,1,1,0,0,1
Every time you speak the room gets dumber,gen_7,1,0,0,1,0,0,0
Youre overreacting like always,gen_8,0,0,0,0,1,1,0
Youre a disgrace to your religion,gen_9,0,0,0,0,1,0,0
Your existence is offensive,gen_10,0,0,0,1,1,0,0
Im doing this for your own good,gen_11,0,0,0,0,0,0,1
Youre polluting our culture,gen_12,0,0,0,0,1,0,0
No one takes you seriously for a reason,gen_13,0,0,0,1,0,0,0
How do you even live with yourself let,gen_14,0,1,0,1,0,0,0
I hope you get what you deservepain,gen_15,0,1,0,0,0,0,1
Your race is the problem with this country,gen_16,0,0,1,0,1,0,0
Youre lucky I even talk to you,gen_17,1,0,0,0,1,0,1
You all are just criminals in disguise,gen_18,0,0,0,0,1,0,0
You make me sick to my stomach,gen_19,0,1,0,0,0,0,0
Youre overreacting like always,gen_20,0,0,0,0,0,1,0
Youre nothing but a failure,gen_21,1,0,1,0,0,0,0
Youre the reason everyone is miserable,gen_22,1,0,0,0,0,0,0
Theres no cure for how pathetic you are,gen_23,0,1,0,0,0,0,0
Go back to your own kind,gen_24,0,0,0,0,1,0,0
One day youll regret crossing me,gen_25,0,0,1,1,0,0,0
Ill ruin you if you speak again,gen_26,0,0,1,0,0,0,0
Youre just being paranoid again,gen_27,0,0,0,0,0,1,1
People like you dont belong here,gen_28,0,0,0,0,1,0,0
I never said thatyoure confused again,gen_29,0,0,0,0,0,1,1
No one takes you seriously for a reason,gen_30,0,0,0,1,0,1,0
Youre lucky I even talk to you,gen_31,0,0,0,1,0,0,1
You look like a mistake,gen_32,0,1,0,1,0,0,0
They only like you because I told them to,gen_33,0,0,1,1,0,0,1
People talk behind your back for a reason,gen_34,1,0,1,0,0,0,0
Youre remembering it wrong I was right,gen_35,0,0,0,0,0,1,0
Dont forget I know where you live,gen_36,0,0,1,1,0,0,1
People talk behind your back for a reason,gen_37,1,0,0,0,0,0,0
Everyone thinks youre the problem not me,gen_38,0,0,0,0,0,0,1
Better sleep with one eye open,gen_39,0,0,1,0,0,0,0
Everyone thinks youre the problem not me,gen_40,0,0,0,0,0,0,1
